wkt,id,line,buildstart,opening,closure,length
"LINESTRING (-58.404241294647 -34.5999523253372,-58.4037449983421 -34.5985047317892,-58.4034213268388 -34.5975011705339,-58.4028279290829 -34.5957870953941,-58.4023639999283 -34.5945348212489,-58.401015368665 -34.5915417207497,-58.4003680256587 -34.5902893826086,-58.3998893704657 -34.5893390336053,-58.3997962457998 -34.5892146332705,-58.3996933519534 -34.5891130636772,-58.3987496681431 -34.5884774557154,-58.3977786536338 -34.5878201783506,-58.3971528887279 -34.5875181843046,-58.3934414554927 -34.5856529026371)",33,H,2012,2015,,1967.00
"LINESTRING (-58.3934414554927 -34.5856529026371,-58.3921575585305 -34.5852354291011)",34,H,2012,,2013,126.57
"LINESTRING (-58.3934414554927 -34.5856529026371,-58.3929230792507 -34.585247192988,-58.3915990750946 -34.5838689684713,-58.3912584269737 -34.5833322373042)",35,H,2013,,,328.00
"LINESTRING (-58.4492640007331 -34.6655914727149,-58.448832438729 -34.6653075093389,-58.4460272857022 -34.6630357673253,-58.4459409733013 -34.6628582848573,-58.4460246127794 -34.6626870599295)",36,P,1986,1987,,452.30
"LINESTRING (-58.4658144035914 -34.6798771235062,-58.4664185903971 -34.6803207378097,-58.4670659334033 -34.6806578830909,-58.4673248706058 -34.6810660044894,-58.4671738239044 -34.6814386353139,-58.4667854181009 -34.6818290086646,-58.4651023262854 -34.6835679221408)",37,P,1986,1987,,541.96
"LINESTRING (-58.4619087674472 -34.6430133480565,-58.4615560170076 -34.6433176256984,-58.4611103777399 -34.6440696159981,-58.4586376353594 -34.6464970991285,-58.4569134372513 -34.6481347903363,-58.4558103874965 -34.6491794231571,-58.4552195563857 -34.6496880251885,-58.4544427447786 -34.6502915599266,-58.4543633035929 -34.6504978275412,-58.4543995885783 -34.6509305918945,-58.4544427447787 -34.6511080999318,-58.4546585257808 -34.6515074915705,-58.4546801038811 -34.651720499613,-58.4547575945348 -34.6520428537579,-58.4548307450164 -34.6521879394542,-58.4550634585367 -34.6524449084602,-58.4563416175971 -34.6535221711669,-58.4567582298789 -34.6538474667044,-58.4568379139018 -34.6540280521723,-58.4567731796012 -34.6542321787385,-58.4557805869921 -34.6550131800425,-58.4486382358262 -34.6606219731906,-58.4462862229045 -34.6624500737385,-58.4460246127794 -34.6626870599295,-58.4452720521951 -34.6632487457848,-58.4449915368925 -34.6635327162128,-58.4449699587924 -34.6636924491508,-58.445034693093 -34.6638166856676,-58.4453799426963 -34.6639941660826,-58.4485303453261 -34.6653075093389,-58.4492640007331 -34.6655914727149,-58.44999765614 -34.6656447157352,-58.4507528896471 -34.6657334540325,-58.4511326977998 -34.6658601495581,-58.451378654553 -34.6659996682626,-58.4515512793547 -34.6663191244102,-58.4517239041564 -34.666620831777,-58.4519181070583 -34.6673129798195,-58.4522633566617 -34.6678453974559,-58.4526733405656 -34.6681470992644,-58.4534069959726 -34.6683955587524,-58.4541190732793 -34.6688747285175,-58.4558453212959 -34.6705961674015,-58.4574421007112 -34.6720868690789,-58.4578520846151 -34.6724772865136,-58.4581325999178 -34.6728144637263,-58.4581757561183 -34.6731338935038,-58.4581541780181 -34.6734000840439,-58.4581541780182 -34.6735420519823,-58.4582836466194 -34.6737550034335,-58.4584778495213 -34.6738969707635,-58.4588662553249 -34.673932462558,-58.4592330830284 -34.6739502084497,-58.459621488832 -34.6740921754451,-58.4614124711492 -34.6756005597433,-58.4629229381636 -34.6768249926782,-58.464325514677 -34.6779429373742,-58.4646923423805 -34.6784043069763,-58.4654907320882 -34.6794512515391,-58.4658144035914 -34.6798771235062,-58.4658144035914 -34.6801432923734,-58.4656417787898 -34.6803917158775,-58.4648649671827 -34.6809595382312,-58.4639802650745 -34.6816338222187,-58.4623834856597 -34.6827871899948,-58.4590388801289 -34.6853067990956,-58.4576578817161 -34.6862471969265,-58.457636303616 -34.6866730339401,-58.4584994276243 -34.6874537294428,-58.4615419397534 -34.6902925601175)",38,P,1986,1987,,7471.23
"LINESTRING (-58.375271178113 -34.5926360432093,-58.3764447901239 -34.593997012901,-58.3778438375225 -34.5954957168138,-58.378142687246 -34.5958333809632,-58.3782191048824 -34.5959178326413,-58.3782664400713 -34.5959712194285,-58.378266354539 -34.5959716070832,-58.3783092900045 -34.5960365060926,-58.3783633906287 -34.5961308340484,-58.3784132493381 -34.5962656008679,-58.3784552385253 -34.5964332610053)",39,C,1936,1937,,515.39
"LINESTRING (-58.3784552385253 -34.5964332610053,-58.3784598535883 -34.5963473481308,-58.3785273535907 -34.5950234546451,-58.3785286649943 -34.5948687571266,-58.3785115179011 -34.5947607242599,-58.3784911417379 -34.594684648922,-58.3784675627036 -34.5946177780735,-58.3784165366766 -34.5945270174618,-58.3783568446656 -34.59446021057,-58.3782869705285 -34.5944012509983,-58.3782082614674 -34.5943536120929,-58.3781018241939 -34.5943130734602,-58.3779882401723 -34.594275154291,-58.377817772671 -34.5942390399797,-58.3775581141373 -34.5941957929534,-58.3770521045294 -34.5940770568114,-58.37687576476 -34.5940267071401,-58.376781981569 -34.5939934564093,-58.3767111924316 -34.5939618130633,-58.3766023745361 -34.5939056461859,-58.3765133178807 -34.5938501223466,-58.3764712691212 -34.5938174792116,-58.3763773407728 -34.5937373399015,-58.3760851687972 -34.5934792224829,-58.3758545628785 -34.5932579779139,-58.3755921395705 -34.5929762534064,-58.375271178113 -34.5926360432093)",40,C,1933,1936,1937,583.73
"LINESTRING (-58.375271178113 -34.5926360432094,-58.3740572835376 -34.5912499749396)",41,C,1933,1936,,189.85
"LINESTRING (-58.4162990645828 -34.6487083977079,-58.4163136397579 -34.649371538548,-58.4163377138383 -34.6508491105998,-58.4163628346179 -34.6521406729892,-58.4164047025837 -34.6539832671638,-58.4164423837529 -34.6554883090221,-58.4164732613776 -34.656955870718)",43,H,2012,,2014,915.07
"LINESTRING (-58.4350135308139 -34.5751783669187,-58.4355069958611 -34.5749341929653,-58.4376603773303 -34.5737585268809,-58.441142127463 -34.5719316321129,-58.444668144225 -34.5700123115067,-58.447003694717 -34.5689612096374,-58.4498951601438 -34.5674331171328,-58.452182438765 -34.5662070691223)",15,D,1994,1997,,1864.14
"LINESTRING (-58.4125578810989 -34.6416655069585,-58.4132717306482 -34.6431021097844,-58.4140053860554 -34.6446465625894,-58.414782197663 -34.6461199792563,-58.4154079625691 -34.6471495801811,-58.4160930740888 -34.6482002476475,-58.4162355759923 -34.6484137124115,-58.4163430190182 -34.6485929342128,-58.4165349577602 -34.6488541113986,-58.4166162068463 -34.6489478663148,-58.4168216871454 -34.649131758447,-58.4169763976297 -34.6492428221307,-58.4171891541809 -34.649352371436,-58.417393635374 -34.6494502767117,-58.4176902534884 -34.649571156834,-58.4181363192048 -34.6496901165147,-58.4183956034692 -34.6497314725877,-58.4195751972658 -34.6498461867585,-58.4195959216645 -34.6498472239553)",44,H,2016,,,1190.27
